"Código","Nombre","Desc Tipo_PR"
"05673","VILLAVERDE DE PONTONES (APD)","APEADERO"
"05681","CICERO (APD)","APEADERO"
"05685","LIMPIAS (APD)","APEADERO"
"05689","UDALLA (APD)","APEADERO"
"05721","ARLA BERRON (APD)","APEADERO"
"05722","UNGO NAVA (APD)","APEADERO"
"05723","MENAMAYOR (APD)","APEADERO"
"05725","ANZO (APD)","APEADERO"
"05726","VIGO-SIONES (APD)","APEADERO"
"05727","CADAGUA (APD)","APEADERO"
"05728","CANTONAD (APD)","APEADERO"
"05729","LA SILLA (APD)","APEADERO"
"05730","BERCEDO-MONTIJA (APD)","APEADERO"
"05731","QUINTANA DE LOS PRADOS (APD)","APEADERO"
"05733","REDONDO (APD)","APEADERO"
"05237","PEÑAULLAN (APD)","APEADERO"
"05239","SANTIANES (APD)","APEADERO"
"05241","LOS CABOS (APD)","APEADERO"
"05247","VILLADEMAR (APD)","APEADERO"
"05249","LA MAGDALENA (APD)","APEADERO"
"05251","SAN MARTIN DE LUIÑA (APD)","APEADERO"
"05253","SAN COSME (APD)","APEADERO"
"05257","VALDREDO (APD)","APEADERO"
"05259","NOVELLANA (APD)","APEADERO"
"05261","SANTA MARINA (APD)","APEADERO"
"05263","BALLOTA (APD)","APEADERO"
"05265","TABLIZO (APD)","APEADERO"
"05267","CADAVEDO (APD)","APEADERO"
"05269","SAN CRISTOBAL (APD)","APEADERO"
"05271","CANERO (APD)","APEADERO"
"05273","BARCIA (APD)","APEADERO"
"05277","OTUR (APD)","APEADERO"
"05279","VILLAPEDRE (APD)","APEADERO"
"05281","PIÑERA-VILLAORIL (APD)","APEADERO"
"05285","MEDAL (APD)","APEADERO"
"05287","LOZA (APD)","APEADERO"
"05289","CARTAVIO (APD)","APEADERO"
"05291","LA CARIDAD (APD)","APEADERO"
"05293","TAPIA (APD)","APEADERO"
"05297","LAS CAMPAS DE CASTROPOL (APD)","APEADERO"
"05299","CASTROPOL (APD)","APEADERO"
"05300","VALLOBIN (APD)","APEADERO"
"05302","LAS CAMPAS (APD)","APEADERO"
"05303","LAS MAZAS (APD)","APEADERO"
"05306","SAN PEDRO DE NORA (APD)","APEADERO"
"05308","SOTO UDRION (APD)","APEADERO"
"05309","CACES (APD)","APEADERO"
"05316","PEÑAFLOR DE GRADO (APD)","APEADERO"
"05320","ACES (APD)","APEADERO"
"05323","BEIFAR (APD)","APEADERO"
"05327","SAN RANON (APD)","APEADERO"
"05351","PALOMAR (APD)","APEADERO"
"05357","PEÑAMIEL (APD)","APEADERO"
"05361","BAIÑA (APD)","APEADERO"
"05371","CAUDALIA (APD)","APEADERO"
"05376","SANTA CRUZ (APD)","APEADERO"
"05380","SAN ANTONIO (APD)","APEADERO"
"05381","OYANCO (APD)","APEADERO"
"05382","CORIGOS (APD)","APEADERO"
"05384","SANTA ANA-SOTO (APD)","APEADERO"
"05403","TREMAÑES-LANGREO (APD)","APEADERO"
"05410","XIXUN (APD)","APEADERO"
"05412","PUENTE BURACOS (APD)","APEADERO"
"05416","VALDESOTO (APD)","APEADERO"
"05420","CURUXONA (APD)","APEADERO"
"05425","LA FELGUERA-VEGA (APD)","APEADERO"
"05429","SAMA-LOS LLERONES (APD)","APEADERO"
"05432","SAN VICENTE (APD)","APEADERO"
"05435","CARROCERA (APD)","APEADERO"
"05436","SAN MARTIN (APD)","APEADERO"
"05439","BLIMEA (APD)","APEADERO"
"05459","SANTA AGUEDA (APD)","APEADERO"
"05465","LA QUADRA (APD)","APEADERO"
"05469","ARTXUBE (APD)","APEADERO"
"05470","LAMBARRI (APD)","APEADERO"
"05474","ARANGUREN-APEADERO","APEADERO"
"05477","COLEGIO (APD)","APEADERO"
"05479","IBARRA (APD)","APEADERO"
"05480","BOLUNBURU (APD)","APEADERO"
"11522","INTXAURRONDO (APD)","APEADERO"
"50704","EL CAÑAMO (APD)","APEADERO"
"78806","LA SAGRERA-MERIDIANA (APD)","APEADERO"
"70807","ZARAGOZA-GOYA (APD)","APEADERO"
"43000","SAN JERONIMO (APD)","APEADERO"
"05102","SAN XOAN (APD)","APEADERO"
"05103","SANTA ICIA (APD)","APEADERO"
"05104","VIRXE DO MAR (APD)","APEADERO"
"05105","PIÑEIROS (APD)","APEADERO"
"05106","O PONTO (APD)","APEADERO"
"05108","O ALTO DO CASTIÑEIRO (APD)","APEADERO"
"05109","FERRERIAS (APD)","APEADERO"
"05111","SEDES (APD)","APEADERO"
"05113","PEDROSO DE NARON (APD)","APEADERO"
"05117","LAMAS (APD)","APEADERO"
"05119","APALLA (APD)","APEADERO"
"05123","LABACENGOS (APD)","APEADERO"
"05125","ENTRAMBARRIAS (APD)","APEADERO"
"05129","A CUQUEIRA (APD)","APEADERO"
"05131","SANTA MARIA DE MERA (APD)","APEADERO"
"05135","SAN CLODIO (APD)","APEADERO"
"05137","SENRA (APD)","APEADERO"
"05141","ESPASANTE (APD)","APEADERO"
"05143","LOIBA (APD)","APEADERO"
"05145","O BARQUEIRO (APD)","APEADERO"
"05147","O VICEDO (APD)","APEADERO"
"05149","MOSENDE (APD)","APEADERO"
"05151","FOLGUEIRO (APD)","APEADERO"
"05153","COVAS DE VIVEIRO (APD)","APEADERO"
"05156","VIVEIRO-APEADERO","APEADERO"
"05157","XUANCES (APD)","APEADERO"
"05159","XOVE-POBO (APD)","APEADERO"
"05163","LAGO (APD)","APEADERO"
"05165","BIDUEIROS (APD)","APEADERO"
"05167","SAN CIBRAO (APD)","APEADERO"
"05169","MADEIRO (APD)","APEADERO"
"05173","CANGAS DE FOZ (APD)","APEADERO"
"05175","NOIS (APD)","APEADERO"
"05177","FAZOURO (APD)","APEADERO"
"05179","MARZAN (APD)","APEADERO"
"05181","FOZ (APD)","APEADERO"
"05183","BARREIROS (APD)","APEADERO"
"05185","REINANTE (APD)","APEADERO"
"05187","ESTEIRO (APD)","APEADERO"
"05189","OS CASTROS (APD)","APEADERO"
"05191","RINLO (APD)","APEADERO"
"05197","VEGADEO PUEBLO (APD)","APEADERO"
"05199","VILAVEDELLE (APD)","APEADERO"
"05203","TREMAÑES-CARREÑO (APD)","APEADERO"
"05204","CENTRO DE TRANSPORTES (APD)","APEADERO"
"05207","ABOÑO-APEADERO","APEADERO"
"05208","XIVARES (APD)","APEADERO"
"05210","CANDAS-APEADERO","APEADERO"
"05215","ZANZABORNIN (APD)","APEADERO"
"05216","GUDIN LAMINACION (APD)","APEADERO"
"05218","OFICINAS (APD)","APEADERO"
"05219","LLARANES (APD)","APEADERO"
"05220","CRISTALERIA (APD)","APEADERO"
"05221","AVILES-APEADERO","APEADERO"
"05224","RAICES (APD)","APEADERO"
"05225","SALINAS (APD)","APEADERO"
"05229","VEGARROZADAS (APD)","APEADERO"
"05232","EL PARADOR (APD)","APEADERO"
"05235","RIBERAS (APD)","APEADERO"
"78609","VILADECAVALLS (APD)","APEADERO"
"78610","SANT MIQUEL DE GONTERES (APD)","APEADERO"
"78701","TORREBONICA (APD)","APEADERO"
"78704","SABADELL CENTRE (APD)","APEADERO"
"78705","BARBERA DEL VALLES (APD)","APEADERO"
"78707","MONTCADA I REIXAC-STA. MARIA (APD)","APEADERO"
"78708","MONTCADA I REIXAC-MANRESA (APD)","APEADERO"
"78709","SABADELL NORD (APD)","APEADERO"
"78710","TERRASSA EST (APD)","APEADERO"
"78801","TORRE BARO-VALLBONA (APD)","APEADERO"
"78804","ARC DE TRIOMF (APD)","APEADERO"
"79007","MONTMELO (APD)","APEADERO"
"79009","EL CLOT (APD)","APEADERO"
"79103","PALAUTORDERA (APD)","APEADERO"
"79105","GUALBA (APD)","APEADERO"
"79107","HOSTALRIC (APD)","APEADERO"
"79109","L.FRANQUE.-GRANOLL.NORD(APD)","APEADERO"
"79202","SILS (APD)","APEADERO"
"79204","RIUDELLOTS (APD)","APEADERO"
"79205","FORNELLS DE LA SELVA (APD)","APEADERO"
"79301","CELRA (APD)","APEADERO"
"79302","BORDILS-JUIA (APD)","APEADERO"
"79304","SANT JORDI DESVALLS (APD)","APEADERO"
"79305","CAMALLERA (APD)","APEADERO"
"79311","VILAJUIGA (APD)","APEADERO"
"79314","COLERA (APD)","APEADERO"
"79403","SANT ADRIA DE BESOS (APD)","APEADERO"
"79406","MONTGAT-NORD (APD)","APEADERO"
"79408","OCATA (APD)","APEADERO"
"79409","PREMIA DE MAR (APD)","APEADERO"
"79412","CABRERA DE MAR-V. DE MAR (APD)","APEADERO"
"79501","S. ANDREU DE LLAVANERES (APD)","APEADERO"
"79502","CALDES D'ESTRAC (APD)","APEADERO"
"79607","TORDERA (APD)","APEADERO"
"79608","SANTA SUSANNA (APD)","APEADERO"
"80001","ALTSASU-PUEBLO (APD)","APEADERO"
"80002","BAKAIKU-BACAICOA (APD)","APEADERO"
"80004","LAKUNTZA (APD)","APEADERO"
"80006","H.ARAKIL-VILLANUEVA DE A.(APD)","APEADERO"
"80102","CIZURMAYOR (APD)","APEADERO"
"80111","PITILLAS (APD)","APEADERO"
"80116","MILAGRO (APD)","APEADERO"
"81010","CENICERO-SAN ISIDRO (APD)","APEADERO"
"81011","HARO-EL PARDO (APD)","APEADERO"
"81102","AGONCILLO (APD)","APEADERO"
"81204","BUÑUEL (APD)","APEADERO"
"81206","GALLUR (APD)","APEADERO"
"81208","PEDROLA (APD)","APEADERO"
"81211","LA JOYOSA-TORRES (APD)","APEADERO"
"83006","OLVEGA (APD)","APEADERO"
"83012","CORELLA (APD)","APEADERO"
"84003","ADRADAS (APD)","APEADERO"
"84100","COSCURITA (APD)","APEADERO"
"84103","TARDELCUENDE (APD)","APEADERO"
"84104","QUINTANA REDONDA (APD)","APEADERO"
"92001","VILLAMEJOR (APD)","APEADERO"
"97103","EL TEJAR (APD)","APEADERO"
"97201","RAMON Y CAJAL (APD)","APEADERO"
"98003","FUENTE DE LA MORA (APD)","APEADERO"
"98304","VALDEBEBAS (APD)","APEADERO"
"04402","CAMBRILS (APD)","APEADERO"
"37611","GARROVILLA-LAS VEGAS (APD)","APEADERO"
"64008","CANALS","APEADERO"
"43004","SANLUCAR LA MAYOR (APD)","APEADERO"
"71604","CUBELLES (APD)","APEADERO"
"71702","VALLCARCA (APD)","APEADERO"
"71704","PLATJA DE CASTELLDEFELS (APD)","APEADERO"
"71709","VILADECANS (APD)","APEADERO"
"71802","BARNA.-PASSEIG DE GRACIA (APD)","APEADERO"
"72001","EL MORELL (APD)","APEADERO"
"72002","LA SECUITA-PERAFORT (APD)","APEADERO"
"72003","EL CATLLAR (APD)","APEADERO"
"72004","LA RIERA DE GAIA (APD)","APEADERO"
"72005","LA POBLA DE MONTORNES (APD)","APEADERO"
"72101","RODA DE MAR (APD)","APEADERO"
"72206","LAVERN-SUBIRATS (APD)","APEADERO"
"72208","GELIDA (APD)","APEADERO"
"72211","EL PAPIOL (APD)","APEADERO"
"72302","SANT JOAN DESPI (APD)","APEADERO"
"72304","SANT ILDEFONS DE CORNELLA (APD)","APEADERO"
"72502","SANT CUGAT COLL FAVA (APD)","APEADERO"
"73004","LA FLORESTA (APD)","APEADERO"
"73006","VIMBODI I POBLET (APD)","APEADERO"
"73010","LA RIBA (APD)","APEADERO"
"73102","LA SELVA DEL CAMP (APD)","APEADERO"
"74202","PLASENCIA DEL MONTE (APD)","APEADERO"
"74205","RIGLOS-CONCILIO (APD)","APEADERO"
"74206","RIGLOS (APD)","APEADERO"
"74208","ANZANIGO (APD)","APEADERO"
"74209","CALDEARENAS-AQUILUE (APD)","APEADERO"
"74210","ORNA DE GALLEGO (APD)","APEADERO"
"74214","CASTIELLO-PUEBLO (APD)","APEADERO"
"74215","CASTIELLO (APD)","APEADERO"
"74216","VILLANUA (APD)","APEADERO"
"75101","ALCOLETGE (APD)","APEADERO"
"75102","VILANOVA DE LA BARCA (APD)","APEADERO"
"75103","TERMENS (APD)","APEADERO"
"75104","VALLFOGONA DE BALAGUER (APD)","APEADERO"
"75106","GERB (APD)","APEADERO"
"75107","SANT LLORENÇ DE MONTGAI (APD)","APEADERO"
"75108","VILANOVA DE LA SAL (APD)","APEADERO"
"75109","SANTA LINYA (APD)","APEADERO"
"75110","AGER (APD)","APEADERO"
"75111","CELLERS-LLIMIANA (APD)","APEADERO"
"75112","GUARDIA DE TREMP (APD)","APEADERO"
"75113","PALAU DE NOGUERA (APD)","APEADERO"
"75115","SALAS DE PALLARS (APD)","APEADERO"
"76002","VILABELLA (APD)","APEADERO"
"76003","NULLES-BRAFIM (APD)","APEADERO"
"77003","STA PPTUA DE MOGODA LA FLORIDA (APD","APEADERO"
"77106","BALENYA-ELS HOSTALETS (APD)","APEADERO"
"77112","BORGONYA (APD)","APEADERO"
"77114","LA FARGA DE BEBIE (APD)","APEADERO"
"77301","CAMPDEVANOL (APD)","APEADERO"
"77305","TOSES (APD)","APEADERO"
"77307","URTX-ALP (APD)","APEADERO"
"78404","GOLMES (APD)","APEADERO"
"78405","CASTELLNOU DE SEANA (APD)","APEADERO"
"78406","BELLPUIG (APD)","APEADERO"
"78407","ANGLESOLA (APD)","APEADERO"
"78501","SANT GUIM DE FREIXENET (APD)","APEADERO"
"78502","SANT MARTI SESGUEIOLES (APD)","APEADERO"
"78504","SEGUERS-S.P.SALLAVINERA(APD)","APEADERO"
"78505","AGUILAR DE SEGARRA (APD)","APEADERO"
"78506","RAJADELL (APD)","APEADERO"
"78603","CASTELLGALI (APD)","APEADERO"
"78606","VACARISSES (APD)","APEADERO"
"78607","VACARISSES-TORREBLANCA (APD)","APEADERO"
"66205","VENTA MINA-SIETE AGUAS (APD)","APEADERO"
"66210","CIRCUIT RICARDO TORMO (APD)","APEADERO"
"66214","XIRIVELLA-ALQUERIES (APD)","APEADERO"
"67009","LONGARES (APD)","APEADERO"
"67014","VILLADOZ (APD)","APEADERO"
"67015","BADULES (APD)","APEADERO"
"67016","VILLAHERMOSA (APD)","APEADERO"
"67018","CUENCABUENA (APD)","APEADERO"
"67019","LECHAGO (APD)","APEADERO"
"67021","CALAMOCHA (APD)","APEADERO"
"67101","TORRIJO DEL CAMPO (APD)","APEADERO"
"67103","VILLAFRANCA DEL CAMPO (APD)","APEADERO"
"67207","RUBIELOS DE MORA (APD)","APEADERO"
"67209","TORAS-BEJIS (APD)","APEADERO"
"67214","SEGORBE-ARRABAL (APD)","APEADERO"
"67216","ALGIMIA-CIUDAD (APD)","APEADERO"
"67217","SONEJA (APD)","APEADERO"
"67220","ALGIMIA DE ALFARA-T-TORRES(APD)","APEADERO"
"67223","GILET (APD)","APEADERO"
"67225","ALBENTOSA (APD)","APEADERO"
"69001","GENOVES (APD)","APEADERO"
"69002","BENIGANIM (APD)","APEADERO"
"69003","LA POBLA DEL DUC (APD)","APEADERO"
"69004","MONTABERNER (APD)","APEADERO"
"69005","BUFALI (APD)","APEADERO"
"69006","ALBAIDA (APD)","APEADERO"
"69007","AGULLENT (APD)","APEADERO"
"69009","AGRES (APD)","APEADERO"
"69010","COCENTAINA (APD)","APEADERO"
"69101","EL ROMANI (APD)","APEADERO"
"69111","PLATJA I GRAU DE GANDIA (APD)","APEADERO"
"69200","XIRIVELLA-L'ALTER (APD)","APEADERO"
"70002","ASAMBLEA MADRID-ENTREVIAS (APD)","APEADERO"
"70003","EL POZO (APD)","APEADERO"
"70005","VALLECAS (APD)","APEADERO"
"70107","ALCALA DE H.-UNIVERSIDAD (APD)","APEADERO"
"70109","SANTA EUGENIA (APD)","APEADERO"
"70111","LA GARENA (APD)","APEADERO"
"70203","MALUQUE (APD)","APEADERO"
"70208","CARRASCOSA DE HENARES (APD)","APEADERO"
"70303","ALCUNEZA (APD)","APEADERO"
"70304","HORNA (APD)","APEADERO"
"70405","MONREAL DE ARIZA (APD)","APEADERO"
"70501","CETINA (APD)","APEADERO"
"70503","BUBIERCA (APD)","APEADERO"
"70504","ATECA (APD)","APEADERO"
"70505","TERRER (APD)","APEADERO"
"70602","EMBID DE JALON (APD)","APEADERO"
"70604","SAVIÑAN (APD)","APEADERO"
"70606","PURROY (APD)","APEADERO"
"70701","CALATORAO (APD)","APEADERO"
"70702","SALILLAS DE JALON (APD)","APEADERO"
"70704","RUEDA DE JALON-LUMPIAQUE (APD)","APEADERO"
"70705","PLASENCIA DE JALON (APD)","APEADERO"
"70707","PINSEQUE (APD)","APEADERO"
"70801","UTEBO (APD)","APEADERO"
"71102","EL BURGO DE EBRO (APD)","APEADERO"
"71104","PINA (APD)","APEADERO"
"71109","AZAILA (APD)","APEADERO"
"71302","CAPÇANES (APD)","APEADERO"
"71305","DUESAIGÜES-L'ARGENTERA (APD)","APEADERO"
"71401","VILA-SECA (APD)","APEADERO"
"71601","CALAFELL (APD)","APEADERO"
"71602","SEGUR DE CALAFELL (APD)","APEADERO"
"54510","EL PINILLO (APD)","APEADERO"
"54512","TORREMUELLE (APD)","APEADERO"
"54513","CARVAJAL (APD)","APEADERO"
"54514","TORREBLANCA (APD)","APEADERO"
"54515","LOS BOLICHES (APD)","APEADERO"
"54517","MALAGA-CENTRO ALAMEDA (APD)","APEADERO"
"54518","LOS ALAMOS (APD)","APEADERO"
"54519","MONTEMAR ALTO (APD)","APEADERO"
"54520","PLAZA MAYOR (APD)","APEADERO"
"55002","TEBA (APD)","APEADERO"
"55014","SAN PABLO (APD)","APEADERO"
"55017","ALMORAIMA (APD)","APEADERO"
"56001","TORREBLASCOPEDRO (APD)","APEADERO"
"56103","BENALUA DE GUADIX (APD)","APEADERO"
"60106","SESEÑA (APD)","APEADERO"
"60107","SAN CRISTOBAL DE LOS A. (APD)","APEADERO"
"60109","EL CASAR (APD)","APEADERO"
"60115","PARQUE DE OCIO (APD)","APEADERO"
"60201","LAS INFANTAS (APD)","APEADERO"
"60205","EL CASAR DE LA GUARDIA (APD)","APEADERO"
"60913","SANT VICENT CENTRE (APD)","APEADERO"
"60914","UNIVERSIDAD DE ALICANTE (APD)","APEADERO"
"61004","TOBARRA (APD)","APEADERO"
"61015","ARCHENA-FORTUNA (APD)","APEADERO"
"61100","ALCANTARILLA (APD)","APEADERO"
"61304","TORRE-PACHECO (APD)","APEADERO"
"62102","ELX-CARRUS (APD)","APEADERO"
"64005","MONTESA (APD)","APEADERO"
"64007","L'ENOVA-MANUEL (APD)","APEADERO"
"64103","CARCAIXENT (APD)","APEADERO"
"64202","MASSANASSA (APD)","APEADERO"
"65001","ROCA-CUPER (APD)","APEADERO"
"65003","VALENCIA-CABANYAL (APD)","APEADERO"
"65005","ALBUIXECH (APD)","APEADERO"
"65007","EL PUIG (APD)","APEADERO"
"65201","LES VALLS (APD)","APEADERO"
"65203","LA LLOSA (APD)","APEADERO"
"65204","CHILCHES (APD)","APEADERO"
"65206","NULES-VILLAVIEJA (APD)","APEADERO"
"65209","ALMASSORA (APD)","APEADERO"
"65403","CAMARLES-DELTEBRE (APD)","APEADERO"
"65404","L'AMPOLLA-PERELLO-DELTEBRE (APD)","APEADERO"
"66001","ONTIGOLA (APD)","APEADERO"
"66003","NOBLEJAS  (APD)","APEADERO"
"66004","VILLARRUBIA DE SANTIAGO (APD)","APEADERO"
"66005","SANTA CRUZ DE LA ZARZA (APD)","APEADERO"
"66008","HUELVES (APD)","APEADERO"
"66009","PAREDES DE MELO (APD)","APEADERO"
"66010","VELLISCA (APD)","APEADERO"
"66012","CARACENILLA (APD)","APEADERO"
"66013","CASTILLEJO DEL ROMERAL (APD)","APEADERO"
"66014","CUEVAS DE VELASCO (APD)","APEADERO"
"66015","VILLAR DEL SAZ DE NAVALON (APD)","APEADERO"
"66016","CHILLARON (APD)","APEADERO"
"66102","LOS PALANCARES (APD)","APEADERO"
"66103","CAÑADA DEL HOYO (APD)","APEADERO"
"66105","ARGUISUELAS (APD)","APEADERO"
"66108","YEMEDA-CARDENETE (APD)","APEADERO"
"66109","VILLORA (APD)","APEADERO"
"66110","ENGUIDANOS (APD)","APEADERO"
"66113","LAS CUEVAS (APD)","APEADERO"
"66201","SAN ANTONIO DE REQUENA (APD)","APEADERO"
"66202","REQUENA (APD)","APEADERO"
"66204","SIETE AGUAS (APD)","APEADERO"
"35605","ALCORCON  (APD)","APEADERO"
"35610","LAS RETAMAS (APD)","APEADERO"
"35701","MENDEZ ALVARO (APD)","APEADERO"
"35702","DOCE DE OCTUBRE (APD)","APEADERO"
"35704","PUENTE ALCOCER (APD)","APEADERO"
"36003","CARMONITA (APD)","APEADERO"
"37010","LAS MARGARITAS (APD)","APEADERO"
"37011","GETAFE - SECTOR 3 (APD)","APEADERO"
"37404","CAMPANARIO (APD)","APEADERO"
"37408","MEDELLIN (APD)","APEADERO"
"37409","VALDETORRES (APD)","APEADERO"
"37411","VILLAGONZALO (APD)","APEADERO"
"37608","MONTIJO-EL MOLINO (APD)","APEADERO"
"40006","LOS SANTOS DE MAIMONA (APD)","APEADERO"
"40008","ZAFRA FERIA (APD)","APEADERO"
"40101","BALNEARIO DE EL RAPOSO (APD)","APEADERO"
"40107","FUENTE DEL ARCO (APD)","APEADERO"
"40110","HAMAPEGA (APD)","APEADERO"
"40111","ALANIS (APD)","APEADERO"
"40118","ARENILLAS (APD)","APEADERO"
"40121","ALCOLEA DEL RIO (APD)","APEADERO"
"40122","TOCINA (APD)","APEADERO"
"42002","MEDINA DE LAS TORRES (APD)","APEADERO"
"42009","ALMONASTER-CORTEGANA(APD)","APEADERO"
"42010","GIL MARQUEZ (APD)","APEADERO"
"42013","EL TAMUJOSO (APD)","APEADERO"
"42014","EL CERRO DE ANDEVALO (APD)","APEADERO"
"42016","LOS MILANOS (APD)","APEADERO"
"42018","EL COBUJON (APD)","APEADERO"
"42019","BELMONTE (APD)","APEADERO"
