"Subdirección","Nombre","Código"
"RC NOROESTE","COMERCIAL I.S.M.S.A. (CGD)","22319"
"RC NOROESTE","TUI","22401"
"RC NOROESTE","VALENCA DO MINHO","22402"
"RC NOROESTE","TUI - FRONTERA","22403"
"RC NOROESTE","REDONDELA-PICOTA (APD)","23000"
"RC NOROESTE","CESANTES (APD)","23001"
"RC NOROESTE","ARCADE (APD)","23002"
"RC NOROESTE","FIGUEIRIDO (APD)","23003"
"RC NOROESTE","PONTEVEDRA","23004"
"RC NOROESTE","PORTELA","23005"
"RC NOROESTE","PORTAS","23006"
"RC NOROESTE","VILAGARCIA DE AROUSA","23008"
"RC NOROESTE","CATOIRA","23009"
"RC NOROESTE","PONTECESURES","23010"
"RC NOROESTE","PADRON","23011"
"RC NOROESTE","A ESCRAVITUDE","23012"
"RC NOROESTE","OSEBE (APD)","23013"
"RC NOROESTE","KM. 86,7","23014"
"RC NOROESTE","FAXIL","23015"
"RC NOROESTE","VILAGARCIA DE AROUSA-PRAIA (APD)","23017"
"RC NOROESTE","PONTEVEDRA UNIVERSIDAD (APD)","23018"
"RC NOROESTE","BIF. ANGUEIRA","23019"
"RC SUR","MONFRAGÜE","30000"
"RC SUR","PLASENCIA","30002"
"RC NOROESTE","HIJOS DE MIRAT (CGD)","30023"
"RC NOROESTE","SALAMANCA","30100"
"RC NOROESTE","VALDUNCIEL (CGD)","30101"
"RC NOROESTE","LA ALAMEDILLA (APD)","30110"
"RC NOROESTE","ZAMORA","30200"
"RC NOROESTE","LA BAÑEZA","30216"
"RC NOROESTE","VALDERREY","30219"
"RC NOROESTE","NAVA DEL REY","31002"
"RC NOROESTE","POLLOS (APD)","31003"
"RC NOROESTE","CASTRONUÑO","31004"
"RC NOROESTE","TORO","31006"
"RC NOROESTE","MONTE LA REINA","31007"
"RC NOROESTE","KM. 73,2","31008"
"RC NOROESTE","CORESES (APD)","31009"
"RC NOROESTE","AZUCARERA DEL DUERO","31010"
"RC NOROESTE","KM. 18.7","31102"
"RC NOROESTE","CARBAJALES DE ALBA","31104"
"RC NOROESTE","LOSACIO-SAN MARTIN (APD)","31105"
"RC NOROESTE","FERRERUELA DE TABARA (APD)","31106"
"RC NOROESTE","ABEJERA (APD)","31107"
"RC NOROESTE","SARRACIN DE ALISTE","31108"
"RC NOROESTE","CABAÑAS DE ALISTE (APD)","31109"
"RC NOROESTE","LA TORRE DE ALISTE-POBLADURA (AP","31110"
"RC NOROESTE","S. PEDRO DE LAS HERRERIAS","31111"
"RC NOROESTE","LINAREJOS-PEDROSO","31112"
"RC NOROESTE","ROBLEDO DE SANABRIA (APD)","31113"
"RC NOROESTE","PUEBLA DE SANABRIA","31200"
"RC NOROESTE","PEDRALBA","31201"
"RC NOROESTE","KM. 120,6","31202"
"RC NOROESTE","LUBIAN","31203"
"RC NOROESTE","A MEZQUITA-VILAVELLA","31204"
"RC NOROESTE","A GUDIÑA","31205"
"RC NOROESTE","VILARIÑO DE CONSO-A CAPELA","31206"
"RC NOROESTE","CASTRELO DO VAL-VERIN-C.","31207"
"RC NOROESTE","LAZA-CERDEDELO","31208"
"RC NOROESTE","A ALBERGUERIA-PRADO","31209"
"RC NOROESTE","VILAR DE BARRIO","31210"
"RC NOROESTE","BAÑOS DE MOLGAS","31211"
"RC NOROESTE","PONTEAMBIA (APD)","31212"
"RC NOROESTE","PADERNE CANTOÑA","31213"
"RC NOROESTE","TABOADELA","31214"
"RC NOROESTE","OURENSE-SAN FRANCISCO (APD)","31215"
"RC NOROESTE","SANTA CRUZ DE ARRABALDO","31301"
"RC NOROESTE","MASIDE","31302"
"RC NOROESTE","A FRIELA-MASIDE (APD)","31303"
"RC NOROESTE","O CARBALLIÑO","31304"
"RC NOROESTE","BOBORAS (APD)","31305"
"RC NOROESTE","O IRIXO","31306"
"RC NOROESTE","SAN XOAN DE VILANOVA (APD)","31307"
"RC NOROESTE","LALIN","31308"
"RC NOROESTE","PONTE TABOADA","31309"
"RC NOROESTE","SILLEDA (APD)","31310"
"RC NOROESTE","BANDEIRA","31311"
"RC NOROESTE","VEDRA-RIVADULLA","31312"
"RC NOROESTE","A SUSANA","31313"
"RC NOROESTE","CANTERA DE CAMPOMARZO","31314"
"RC NOROESTE","SANTIAGO COMPOSTELA-DANIEL CAST.","31400"
"RC NOROESTE","GARGA-TRASMONTE (APD)","31403"
"RC NOROESTE","QUEIXAS-LONDOÑO","31406"
"RC NOROESTE","CERCEDA (APD)","31407"
"RC NOROESTE","VILA DA IGREXA (APD)","31408"
"RC NOROESTE","MEIRAMA-PICARDEL","31409"
"RC NOROESTE","UXES","31411"
"RC NOROESTE","A CORUÑA","31412"
"RC NOROESTE","ORDES","31415"
"RC NOROESTE","SOGAMA (CGD)","31421"
"RC NOROESTE","CENTRAL TERMICA DE MEIRAMA","31422"
"RC NOROESTE","BOEDO","31434"
"RC NOROESTE","RIO TOURIO","31436"
"RC NOROESTE","CAMPILLO","32001"
"RC NOROESTE","EL CARPIO","32002"
"RC NOROESTE","FRESNO EL VIEJO (APD)","32003"
"RC NOROESTE","CANTALAPIEDRA","32004"
"RC NOROESTE","CANTALPINO","32005"
"RC NOROESTE","EL PEDROSO DE LA ARMUÑA (APD)","32006"
"RC NOROESTE","PITIEGUA (APD)","32007"
"RC NOROESTE","GOMECELLO","32008"
"RC NOROESTE","MORISCOS (APD)","32009"
"RC NOROESTE","TEJARES-CHAMBERI","33001"
"RC NOROESTE","BARBADILLO Y CALZADA","33003"
"RC NOROESTE","ROBLIZA (APD)","33004"
"RC NOROESTE","ALDEHUELA DE LA BOVEDA","33006"
"RC NOROESTE","MUÑOZ (APD)","33007"
"RC NOROESTE","FTE. DE S. ESTEBAN-BOADILLA","33008"
"RC NOROESTE","MARTIN DE YELTES (APD)","33009"
"RC NOROESTE","EL COLLADO (APD)","33010"
"RC NOROESTE","SANCTI-SPIRITUS","33011"
"RC NOROESTE","EL SALTO (APD)","33012"
"RC NOROESTE","CIUDAD RODRIGO","33013"
"RC NOROESTE","CARPIO DE AZABA (APD)","33014"
"RC NOROESTE","ESPEJA","33015"
"RC NOROESTE","FUENTES DE OÑORO","33016"
"RC NOROESTE","VILAR FORMOSO","33030"
"RC NOROESTE","CARDEÑOSA DE AVILA","34002"
"RC NOROESTE","MONSALUPE (APD)","34003"
"RC NOROESTE","AVEINTE (APD)","34004"
"RC NOROESTE","SAN PEDRO DEL ARROYO","34005"
"RC NOROESTE","CRESPOS (APD)","34007"
"RC NOROESTE","NARROS DEL CASTILLO (APD)","34008"
"RC NOROESTE","PEÑARANDA DE BRACAMONTE","34010"
"RC NOROESTE","VILLAR DE GALLIMAZO (APD)","34011"
"RC NOROESTE","BABILAFUENTE","34012"
"RC NOROESTE","SAN MORALES (APD)","34013"
"RC NOROESTE","ALDEALENGUA (APD)","34014"
"RC CENTRO","LEGANES","35001"
"RC CENTRO","FUENLABRADA","35002"
"RC CENTRO","GRIÑON","35004"
"RC CENTRO","ILLESCAS","35005"
"RC CENTRO","VILLAVERDE-ORCASITAS (CGD)","35008"
"RC CENTRO","ZARZAQUEMADA (APD)","35009"
"RC CENTRO","LA SERNA-FUENLABRADA (APD)","35010"
"RC CENTRO","PARQUE POLVORANCA (APD)","35011"
"RC CENTRO","HUMANES","35012"
"RC CENTRO","VILLALUENGA-YUNCLER","35100"
"RC CENTRO","BARGAS (APD)","35102"
"RC CENTRO","VILLAMIEL DE TOLEDO","35103"
"RC CENTRO","TORRIJOS","35105"
"RC CENTRO","ERUSTES","35107"
"RC CENTRO","KM. 110.4","35108"
"RC CENTRO","MONTEARAGON","35109"
"RC CENTRO","TALAVERA DE LA REINA","35200"
"RC CENTRO","CALERA-CHOZAS","35201"
"RC CENTRO","OROPESA DE TOLEDO","35203"
"RC SUR","NAVALMORAL DE LA MATA","35206"
"RC SUR","CASATEJADA (APD)","35207"
"RC SUR","LA BAZAGONA","35209"
"RC SUR","MIRABEL","35301"
"RC SUR","CASAS DE MILLAN (APD)","35302"
"RC SUR","CAÑAVERAL","35303"
"RC SUR","RIO TAJO (APD)","35304"
"RC SUR","CASAR DE CACERES","35305"
"RC SUR","CACERES","35400"
"RC SUR","ARROYO DE MALPARTIDA","35402"
"RC SUR","HERRERUELA (APD)","35404"
"RC SUR","SAN VICENTE DE ALCANTARA","35405"
"RC SUR","VALENCIA DE ALCANTARA","35406"
"RC SUR","KM. 428,5 (FRONTERA)","35407"
"RC CENTRO","ALUCHE","35600"
"RC CENTRO","MAESTRA JUSTA FREIRE-P.ALUCHE (APD)","35601"
"RC CENTRO","LAS AGUILAS (APD)","35602"
"RC CENTRO","CUATRO VIENTOS","35603"
"RC CENTRO","SAN JOSE DE VALDERAS","35604"
"RC CENTRO","ALCORCON  (APD)","35605"
"RC CENTRO","MOSTOLES","35606"
"RC CENTRO","MOSTOLES - EL SOTO","35607"
"RC CENTRO","LAGUNA","35608"
"RC CENTRO","EMBAJADORES","35609"
"RC CENTRO","LAS RETAMAS (APD)","35610"
"RC CENTRO","MENDEZ ALVARO (APD)","35701"
"RC CENTRO","DOCE DE OCTUBRE (APD)","35702"
"RC CENTRO","ORCASITAS","35703"
"RC CENTRO","PUENTE ALCOCER (APD)","35704"
"RC SUR","KM. 53,8","36001"
"RC SUR","ALDEA DEL CANO","36002"
"RC SUR","CARMONITA (APD)","36003"
"RC SUR","KM 15.5","36004"
"RC CENTRO","VILLAVERDE ALTO CARGAS","37000"
"RC CENTRO","VILLAVERDE ALTO","37001"
"RC CENTRO","GETAFE - CENTRO","37002"
"RC CENTRO","BUTANO, S.A.","37003"
"RC CENTRO","PARLA INDUSTRIAL","37004"
"RED DE ALTA VELOCIDAD (RAV)","YELES","37006"
"RC CENTRO","VILLASECA Y MOCEJON","37008"
"RED DE ALTA VELOCIDAD (RAV)","PARLA A.V.","37009"
"RC CENTRO","LAS MARGARITAS (APD)","37010"
"RC CENTRO","GETAFE - SECTOR 3 (APD)","37011"
"RC CENTRO","PARLA","37012"
"RED DE ALTA VELOCIDAD (RAV)","LOS GAVILANES","37013"
"RC CENTRO","ALGODOR","37100"
"RED DE ALTA VELOCIDAD (RAV)","ABLATES","37101"
"RED DE ALTA VELOCIDAD (RAV)","MORA Y ORGAZ","37104"
"RED DE ALTA VELOCIDAD (RAV)","LOS YEBENES","37106"
"RED DE ALTA VELOCIDAD (RAV)","URDA","37107"
"RED DE ALTA VELOCIDAD (RAV)","EL EMPERADOR","37108"
"RED DE ALTA VELOCIDAD (RAV)","MALAGON","37110"
"RED DE ALTA VELOCIDAD (RAV)","LA SAGRA","37113"
"RC CENTRO","CIUDAD REAL","37200"
"RED DE ALTA VELOCIDAD (RAV)","KM. 186,200","37201"
"RC CENTRO","CAÑADA DE CALATRAVA","37202"
"RC CENTRO","CALATRAVA","37205"
"RED DE ALTA VELOCIDAD (RAV)","CIUDAD REAL C.","37206"
"RED DE ALTA VELOCIDAD (RAV)","CALATRAVA","37210"
"RC CENTRO","PUERTOLLANO","37300"
"RC CENTRO","PUERTOLLANO-MERCANCIAS","37301"
"RC CENTRO","BRAZATORTAS-VEREDAS","37302"
"RC CENTRO","CARACOLLERA","37303"
"RC CENTRO","ALMADENEJOS-ALMADEN","37305"
"RC CENTRO","KM. 281.8","37306"
"RC CENTRO","KM. 288.9","37307"
"RC CENTRO","GUADALMEZ-LOS PEDROCHES","37308"
"RC SUR","KM. 309.2","37309"
"RC SUR","CABEZA DEL BUEY","37311"
"RC CENTRO","PUERTOLLANO-REFINERIA","37315"
"RED DE ALTA VELOCIDAD (RAV)","ARROYO DEL VALLE","37316"
"RC SUR","ALMORCHON","37400"
"RC SUR","KM. 344.3","37401"
"RC SUR","CASTUERA","37402"
"RC SUR","CAMPANARIO (APD)","37404"
"RC SUR","KM. 385.1","37405"
"RC SUR","VILLANUEVA DE LA SERENA","37406"
"RC SUR","DON BENITO","37407"
"RC SUR","MEDELLIN (APD)","37408"
"RC SUR","VALDETORRES (APD)","37409"
"RC SUR","GUAREÑA","37410"
"RC SUR","VILLAGONZALO (APD)","37411"
"RC SUR","KM. 436.6","37412"
"RC SUR","KM. 440.0","37413"
"RC SUR","BIOENERGETICA EXTREMEÑA","37414"
"RC SUR","MERIDA","37500"
"RC CENTRO","MERIDA CONTENEDORES","37502"
"RC SUR","ALJUCEN","37600"
"RC SUR","LA GARROVILLA","37601"
"RC SUR","KM. 471.5","37602"
"RC SUR","MONTIJO","37603"
"RC SUR","GUADIANA","37604"
"RC SUR","EL FRESNAL","37605"
"RC SUR","BADAJOZ","37606"
"RC SUR","MONTIJO-EL MOLINO (APD)","37608"
"RC SUR","GEVORA","37609"
"RC SUR","BADAJOZ - FRONTERA","37610"
"RED DE ALTA VELOCIDAD (RAV)","PUERTOLLANO","37700"
"RED DE ALTA VELOCIDAD (RAV)","BRAZATORTAS","37701"
"RED DE ALTA VELOCIDAD (RAV)","VENTA LA INES","37702"
"RED DE ALTA VELOCIDAD (RAV)","CONQUISTA","37703"
"RED DE ALTA VELOCIDAD (RAV)","VILLANUEVA DE CORDOBA","37704"
"RED DE ALTA VELOCIDAD (RAV)","ADAMUZ","37705"
"RC SUR","CAMBIADOR ALCOLEA","37706"
"RED DE ALTA VELOCIDAD (RAV)","HORNACHUELOS","37801"
"RED DE ALTA VELOCIDAD (RAV)","GUADAJOZ","37802"
"RED DE ALTA VELOCIDAD (RAV)","MAJARABIQUE","37803"
"RC SUR","CAMBIADOR MAJARABIQUE","37805"
"RC CENTRO","KM. 2,0","40001"
"RC SUR","CALAMONTE","40002"
"RC SUR","KM 17.5","40003"
"RC SUR","ALMENDRALEJO","40004"
"RC SUR","VILLAFRANCA DE LOS BARROS","40005"
"RC SUR","LOS SANTOS DE MAIMONA (APD)","40006"
"RC SUR","ZAFRA FERIA (APD)","40008"
"RC SUR","ZAFRA","40100"
"RC SUR","BALNEARIO DE EL RAPOSO (APD)","40101"
"RC SUR","KM. 86,7","40103"
"RC SUR","LLERENA","40105"
"RC SUR","FUENTE DEL ARCO (APD)","40107"
"RC SUR","GUADALCANAL","40108"
"RC SUR","HAMAPEGA (APD)","40110"
"RC SUR","ALANIS (APD)","40111"
"RC SUR","CAZALLA-CONSTANTINA","40113"
"RC SUR","KM. 165.7","40114"
"RC SUR","PEDROSO","40115"
"RC SUR","ARENILLAS (APD)","40118"
"RC SUR","VILLANUEVA DEL RIO-MINAS","40119"
"RC SUR","ALCOLEA DEL RIO (APD)","40121"
"RC SUR","TOCINA (APD)","40122"
"RC SUR","BURGUILLOS DEL CERRO (CGD)","41002"
"RC SUR","LLANO DE LA GRANJA (CGD)","41003"
"RC SUR","JEREZ DE LOS CABALLEROS (CGD)","41004"
"RC SUR","CEMENTOS BALBOA (CGD)","41005"
"RC SUR","MEDINA DE LAS TORRES (APD)","42002"
"RC SUR","VALENCIA DEL VENTOSO","42003"
"RC SUR","FREGENAL DE LA SIERRA","42005"
"RC SUR","CUMBRES MAYORES","42006"
"RC SUR","KM 78.5","42007"
"RC SUR","JABUGO-GALAROZA","42008"
"RC SUR","ALMONASTER-CORTEGANA(APD)","42009"
"RC SUR","GIL MARQUEZ (APD)","42010"
"RC SUR","VALDELAMUSA","42012"
"RC SUR","EL TAMUJOSO (APD)","42013"
"RC SUR","EL CERRO DE ANDEVALO (APD)","42014"
"RC SUR","CALAÑAS","42015"
"RC SUR","LOS MILANOS (APD)","42016"
"RC SUR","KM. 143.6","42017"
"RC SUR","EL COBUJON (APD)","42018"
"RC SUR","BELMONTE (APD)","42019"
"RC SUR","GIBRALEON","42020"
"RC SUR","PEGUERILLAS (APD)","42021"
"RC SUR","ALAMILLO","43001"
"RC SUR","CAMAS (APD)","43002"
"RC SUR","VILLANUEVA DEL ARISCAL Y OLIVARES","43003"
"RC SUR","AZNALCAZAR-PILAS","43006"
"RC SUR","HUEVAR (APD)","43007"
"RC SUR","CARRION DE LOS CESPEDES","43008"
"RC SUR","ESCACENA","43009"
"RC SUR","SALTERAS-VALENCINA","43010"
"RC SUR","LA PALMA DEL CONDADO","43011"
"RC SUR","VILLARRASA (APD)","43012"
"RC SUR","NIEBLA","43013"
"RC SUR","SANLUCAR LA MAYOR (APD)","43014"
"RC SUR","NIEBLA-PUERTA DEL BUEY (APD)","43015"
"RC SUR","KM 81.8","43016"
"RC SUR","ARROYO TAMARGUILLO","43017"
"RC SUR","SAN JUAN DEL PUERTO-MOGUER","43018"
"RC SUR","HUELVA","43019"
"RC SUR","BENACAZON","43020"
"RC SUR","SAN JUAN DEL PUERTO (APD)","43021"
"RC SUR","HUELVA PUERTO","43022"
"RC SUR","HUELVA-MERCANCIAS","43023"
"RC SUR","HUELVA-MERCANCIAS (APD)","43024"
"RC CENTRO","MARAÑON","50001"
"RC CENTRO","CINCO CASAS","50002"
"RC CENTRO","HERRERA DE LA MANCHA","50003"
"RC CENTRO","MANZANARES","50100"
"RC CENTRO","CONSOLACION","50101"
"RC CENTRO","VALDEPEÑAS","50102"
"RC CENTRO","SANTA CRUZ DE MUDELA","50200"
"RC SUR","PEÑALAJO","50201"
"RC SUR","ALMURADIEL-VISO DEL MARQUES","50202"
"RC SUR","VENTA DE CARDENAS","50203"
"RC SUR","LAS CORREDERAS","50204"
"RC SUR","SANTA ELENA","50205"
"RC SUR","CALANCHA","50206"
"RC SUR","VILCHES","50207"
"RC SUR","KM 300.3","50208"
"RC SUR","VADOLLANO","50209"
"RC SUR","LINARES-BAEZA","50300"
"RC SUR","LAS MADRIGUERAS","50301"
"RC SUR","JABALQUINTO","50302"
"RC SUR","MENGIBAR-LAS PALOMERAS","50303"
"RC SUR","ESPELUY","50400"
"RC SUR","VILLANUEVA DE LA REINA","50402"
"RC SUR","ANDUJAR","50403"
"RC SUR","ARJONILLA","50404"
"RC SUR","MARMOLEJO","50405"
"RC SUR","LOS SILES","50406"
"RC SUR","VILLA DEL RIO","50407"
"RC SUR","MONTORO","50408"
"RC SUR","PEDRO ABAD","50409"
"RC SUR","EL CARPIO DE CORDOBA","50410"
"RC SUR","VILLAFRANCA DE CORDOBA","50411"
"RC SUR","LOS CANSINOS","50412"
"RC SUR","ALCOLEA DE CORDOBA","50413"
"RC SUR","LOS MAJUELOS (CGD)","50414"
"RC SUR","CAMPUS UNIVERS. DE RABANALES(APD)","50417"
"RC SUR","CORDOBA","50500"
"RC SUR","EL HIGUERON","50501"
"RC SUR","VILLARRUBIA DE CORDOBA","50502"
"RC SUR","ALMODOVAR DEL RIO","50503"
"RC SUR","POSADAS","50504"
"RC SUR","HORNACHUELOS","50505"
"RC SUR","PALMA DEL RIO","50506"
"RC SUR","PEÑAFLOR","50507"
"RC SUR","EL PRIORATO","50508"
"RC SUR","CORDOBA MERCANCIAS","50512"
"RC SUR","BASE DE MONTAJE (CGD)","50521"
"RC SUR","LORA DEL RIO","50600"
"RC SUR","GUADAJOZ (APD)","50602"
"RC SUR","LOS ROSALES","50700"
"RC SUR","CANTILLANA (APD)","50701"
"RC SUR","BRENES","50702"
"RC SUR","LA RINCONADA (APD)","50703"
"RC SUR","MAJARABIQUE-ESTACION","50709"
"RC SUR","SEVILLA-PUERTO","50803"
"RC SUR","SEVILLA-SANTA JUSTA","51003"
"RC SUR","LA NEGRILLA","51005"
"RC SUR","ALCALA DE GUADAIRA-POLO DESARROL","51006"
"RC SUR","FACT. SEAT","51007"
"RC SUR","PALACIO DE CONGRESOS (APD)","51009"
"RC SUR","PADRE PIO-PALMETE (APD)","51010"
"RC SUR","CARTUJA","51050"
"RC SUR","ESTADIO OLIMPICO (APD)","51051"
"RC SUR","SAN BERNARDO  (APD)","51100"
"RC SUR","LA SALUD","51101"
"RC SUR","LOS MERINALES (APD)","51102"
"RC SUR","DOS HERMANAS","51103"
"RC SUR","KM. 4.6","51106"
"RC SUR","PUERTO DE SEVILLA (CGD)","51107"
"RC SUR","VIRGEN DEL ROCIO (APD)","51110"
"RC SUR","BELLAVISTA (APD)","51111"
"RC SUR","CANTAELGALLO (APD)","51112"
"RC SUR","UTRERA","51200"
"RC SUR","LAS ALCANTARILLAS","51201"
"RC SUR","LAS CABEZAS DE SAN JUAN","51202"
"RC SUR","LEBRIJA","51203"
"RC SUR","EL CUERVO","51204"
"RC SUR","AEROPUERTO DE JEREZ","51205"
"RC SUR","JEREZ DE LA FRONTERA MERCANCIAS","51207"
"RC SUR","JEREZ DE LA FRONTERA","51300"
"RC SUR","PUERTO DE SANTA MARIA","51400"
"RC SUR","PUERTO REAL (APD)","51401"
"RC SUR","SAN FERNANDO-CENTRO (APD)","51402"
"RC SUR","SEGUNDA AGUADA (APD)","51404"
"RC SUR","CADIZ","51405"
"RC SUR","SAN FERNANDO-BAHIA SUR","51406"
"RC SUR","CORTADURA","51407"
"RC SUR","ESTADIO (APD)","51409"
"RC SUR","CADIZ-PUERTO","51411"
"RC SUR","PUERTO DE SANTA Mõ CONTENEDORES","51413"
"RC SUR","SAN SEVERIANO (APD)","51414"
"RC SUR","LAS ALETAS","51415"
"RC SUR","UNIVERSIDAD DE CADIZ (APD)","51416"
"RC SUR","VALDELAGRANA (APD)","51417"
"RC SUR","CAMBIADOR CORDOBA","54001"
"RC SUR","VALCHILLON","54100"
"RC SUR","EL CHAPARRAL","54101"
"RC SUR","TORRES CABRERA","54102"
"RC SUR","FERNAN NUÑEZ","54103"
"RC SUR","MONTEMAYOR","54104"
"RC SUR","MONTILLA","54105"
"RC SUR","AGUILAR DE LA FRONTERA","54106"
"RC SUR","KM 72.3","54200"
"RC SUR","PUENTE GENIL","54201"
"RC SUR","CASARICHE","54202"
"RC SUR","LA RODA DE ANDALUCIA","54300"
"RC SUR","FUENTE DE PIEDRA","54301"
"RC SUR","BOBADILLA","54400"
"RC SUR","GOBANTES","54402"
"RC SUR","EL CHORRO-CAMINITO DEL REY","54403"
"RC SUR","LAS MELLIZAS","54404"
"RC SUR","ALORA","54405"
"RC SUR","PIZARRA","54406"
"RC SUR","ALJAIMA","54407"
"RC SUR","CARTAMA","54408"
"RC SUR","CAMPANILLAS","54410"
"RC SUR","LOS PRADOS","54412"
"RC SUR","MALAGA MARIA ZAMBRANO","54413"
"RC SUR","MALAGA-PUERTO","54414"
"RC SUR","VICTORIA KENT (APD)","54501"
"RC SUR","GUADALHORCE (APD)","54503"
"RC SUR","TERMINAL DE CARGAS (APD)","54504"
"RC SUR","AEROPUERTO (APD)","54505"
"RC SUR","SAN JULIAN (APD)","54506"
"RC SUR","CAMPO DE GOLF-CAMPAMENTO (APD)","54507"
"RC SUR","LA COLINA (APD)","54508"
"RC SUR","TORREMOLINOS","54509"
"RC SUR","EL PINILLO (APD)","54510"
"RC SUR","BENALMADENA-ARROYO DE LA MIEL","54511"
"RC SUR","TORREMUELLE (APD)","54512"
"RC SUR","CARVAJAL (APD)","54513"
"RC SUR","TORREBLANCA (APD)","54514"
"RC SUR","LOS BOLICHES (APD)","54515"
"RC SUR","FUENGIROLA","54516"
"RC SUR","MALAGA-CENTRO ALAMEDA (APD)","54517"
"RC SUR","LOS ALAMOS (APD)","54518"
"RC SUR","MONTEMAR ALTO (APD)","54519"
"RC SUR","PLAZA MAYOR (APD)","54520"
"RC SUR","AGUJA KM. 11,3 (P.B.)","54521"
"RC SUR","AGUJA KM. 12,9 (P.B.)","54522"
"RC SUR","AGUJA KM. 17,0 (P.B.)","54523"
"RC SUR","AGUJA KM. 22,4 (P.B.)","54524"
"RC SUR","AGUJA KM. 27,0 (P.B.)","54525"
"RC SUR","CAMPILLOS","55001"
"RC SUR","TEBA (APD)","55002"
"RC SUR","ALMARGEN-CAÑETE LA REAL","55003"
"RC SUR","KM 41.7","55004"
"RC SUR","SETENIL","55005"
"RC SUR","KM. 60.4","55006"
"RC SUR","RONDA","55007"
"RC SUR","ARRIATE","55008"
"RC SUR","LA INDIANA","55009"
"RC SUR","BENAOJAN-MONTEJAQUE","55010"
"RC SUR","JIMERA DE LIBAR","55011"
"RC SUR","CORTES DE LA FRONTERA","55012"
"RC SUR","GAUCIN","55013"
"RC SUR","SAN PABLO (APD)","55014"
"RC SUR","JIMENA DE LA FRONTERA","55015"
"RC SUR","CASTELLAR DE LA FRONTERA","55016"
"RC SUR","ALMORAIMA (APD)","55017"
"RC SUR","SAN ROQUE-LA LINEA","55018"
"RC SUR","LOS BARRIOS","55019"
"RC SUR","ALGECIRAS","55020"
"RC SUR","ALGECIRAS-PUERTO (CGD)","55021"
"RC SUR","ALGECIRAS CONTENEDORES","55024"
"RC SUR","SAN ROQUE-LA LINEA CONTEN.","55026"
"RC SUR","TORREBLASCOPEDRO (APD)","56001"
"RC SUR","BEGIJAR","56002"
"RC SUR","KM 36.0","56003"
"RC SUR","JODAR-UBEDA","56004"
"RC SUR","LOS PROPIOS Y CAZORLA","56005"
"RC SUR","KM. 61.9","56006"
"RC SUR","LARVA","56007"
"RC SUR","HUESA","56008"
"RC SUR","CABRA DEL SANTO CRISTO Y ALICUN","56009"
"RC SUR","KM. 99.2","56010"
"RC SUR","ALAMEDILLA Y GUADAHORTUNA","56011"
"RC SUR","PEDRO MARTINEZ","56012"
"RC SUR","MOREDA","56100"
"RC SUR","HUELAGO-DARRO Y DIEZMA","56101"
"RC SUR","FONELAS","56102"
"RC SUR","BENALUA DE GUADIX (APD)","56103"
"RC SUR","GUADIX","56200"
"RC SUR","LA CALAHORRA-FERREIRA","56201"
"RC SUR","HUENEJA-DOLAR","56300"
"RC SUR","FIÑANA","56301"
"RC SUR","ABLA Y ABRUCENA","56302"
"RC SUR","DOÑA MARIA DE OCAÑA","56303"
"RC SUR","GERGAL","56305"
"RC SUR","FUENTE SANTA","56306"
"RC SUR","SANTA FE Y ALHAMA","56307"
"RC SUR","GADOR","56308"
"RC SUR","BENAHADUX-PECHINA","56309"
"RC SUR","HUERCAL-VIATOR","56310"
"RC SUR","ALMERIA","56312"
"RC SUR","ALMERIA-PUERTO","56313"
"RC SUR","HOLCIM (CGD)","56314"
"RC SUR","PIÑAR","57002"
"RC SUR","IZNALLOZ","57003"
"RC SUR","DEIFONTES","57004"
"RC SUR","ALBOLOTE","57006"
"RC SUR","ALQUIFE (CGD)","58001"
"RC SUR","MINAS DEL MARQUESADO","58101"
"RED DE ALTA VELOCIDAD (RAV)","MADRID-P.ATOCHA-ALMUDENA GRANDES","60000"
"RC CENTRO","KM. 5.200","60001"
"RC CENTRO","MADRID-SANTA CATALINA","60004"
"RC CENTRO","VILLAVERDE BAJO","60100"
"RC CENTRO","SAN CRISTOBAL INDUSTRIAL","60101"
"RC CENTRO","GETAFE - INDUSTRIAL","60102"
"RC CENTRO","PINTO","60103"
"RC CENTRO","VALDEMORO","60104"
"RC CENTRO","CIEMPOZUELOS","60105"
"RC CENTRO","SESEÑA (APD)","60106"
"RC CENTRO","SAN CRISTOBAL DE LOS A. (APD)","60107"
"RC CENTRO","EL SALOBRAL","60108"
"RC CENTRO","EL CASAR (APD)","60109"
"RC CENTRO","PARQUE DE OCIO (APD)","60115"
"RC CENTRO","SAN MARTIN DE LA VEGA","60116"
"RC CENTRO","ARANJUEZ","60200"
"RC CENTRO","LAS INFANTAS (APD)","60201"
"RC CENTRO","CASTILLEJO-AÑOVER","60202"
"RC CENTRO","VILLASEQUILLA","60203"
"RC CENTRO","HUERTA DE VALDECARABANOS","60204"
"RC CENTRO","EL CASAR DE LA GUARDIA (APD)","60205"
"RC CENTRO","TEMBLEQUE","60206"
"RC CENTRO","EL ROMERAL","60207"
"RC CENTRO","NICE ROCK","60208"
"RED DE ALTA VELOCIDAD (RAV)","ALMODOVAR","60299"
"RC CENTRO","VILLACAÑAS","60300"
"RC CENTRO","QUERO","60301"
"RC CENTRO","ALCAZAR DE SAN JUAN-MERCANCIAS","60302"
"RC CENTRO","ALCAZAR DE SAN JUAN","60400"
