"Código","Longitud","Latitud"
"D6605","",""
"D6611","",""
"D6612","",""
"D6613","",""
"D6614","",""
"D6615","",""
"D6616","",""
"D6617","",""
"D6618","",""
"D6622","",""
"D6625","",""
"D6626","",""
"D6721","",""
"D7001","",""
"D7002","",""
"D7003","",""
"D7041","",""
"D7042","",""
"D7121","",""
"D7123","0,45154","41,235089"
"D7124","",""
"D7171","",""
"D7201","",""
"D7202","",""
"D7301","",""
"D7310","",""
"D7319","",""
"D7421","",""
"D7511","",""
"D7711","",""
"D7824","",""
"D7831","",""
"D7881","",""
"D7931","",""
"D7932","",""
"D8002","",""
"D8003","",""
"D8100","",""
"D8111","",""
"D8122","",""
"D8123","",""
"D8204","",""
"D8302","",""
"D8401","",""
"D8412","",""
"D9701","",""
"00001","",""
"00002","",""
"00003","",""
"00004","",""
"00005","-5,274509","38,291932"
"00006","",""
"00007","-5,122199","38,229355"
"00008","",""
"00010","-4,949905","38,119589"
"00012","-4,941889","38,116408"
"00013","-4,853026","38,076825"
"00014","-4,789492","38,025819"
"00015","-4,769448","38,002036"
"00016","-4,758916","37,973735"
"00017","-4,767574","37,919234"
"00018","-4,773429","37,914891"
"01001","-5,706721","37,207335"
"01002","",""
"01003","-5,548392","37,268135"
"01005","-5,425448","37,33422"
"01007","-5,114847","37,233788"
"01009","-4,8937","37,222366"
"01019","",""
"02000","-4,999464","37,791189"
"02001","-4,891999","37,589734"
"02002","-4,822268","37,359676"
"02003","-4,720192","37,071449"
"02004","-4,691629","36,858334"
"02005","-4,476931","36,698271"
"02020","-4,720452","37,066515"
"03001","-3,801934","37,977867"
"03002","-3,784097","37,913594"
"03003","",""
"03100","-3,790788","37,779917"
"04001","-3,663535","40,346813"
"04002","-3,61512","40,339259"
"04003","-3,490647","40,4066"
"04005","-3,314423","40,455745"
"04007","-3,126501","40,58652"
"04009","-2,92977","40,796502"
"04011","-2,702379","40,897257"
"04013","-2,526733","40,992288"
"04015","-2,349306","41,120195"
"04018","-2,070191","41,225947"
"04020","-1,906442","41,282766"
"04026","-1,405064","41,525909"
"04028","-1,262384","41,675992"
"04030","-1,079784","41,656187"
"04031","-0,925414","41,666218"
"04040","-0,910774","41,658683"
"04044","-0,755333","41,5521"
"04046","-0,521919","41,5316"
"04048","-0,353921","41,533121"
"04050","-0,158548","41,526447"
"04052","0,108138","41,572014"
"04054","0,370928","41,618496"
"04055","0,495703","41,629717"
"04100","0,602308","41,602764"
"04101","0,777356","41,538953"
"04102","1,102929","41,404313"
"04103","1,187292","41,268783"
"04104","1,271923","41,19213"
"04105","1,432994","41,187055"
"04106","1,605019","41,278527"
"04107","1,716463","41,358001"
"04108","1,833224","41,442707"
"04109","2,012318","41,405512"
"04110","2,089408","41,330585"
"04200","1,437782","41,183334"
"04300","2,194029","41,424729"
"04301","",""
"04302","2,421665","41,649187"
"04303","2,57874","41,729543"
"04304","2,766544","41,886454"
"04305","2,620227","41,745135"
"04306","",""
"04307","2,943028","42,264581"
"04308","",""
"04309","",""
"04310","",""
"04311","",""
"05000","-3,609136","37,184"
"05002","-3,695919","37,216787"
"05003","",""
"05004","-3,756051","37,247288"
"05005","",""
"05006","",""
"05007","",""
"05008","",""
"05009","-3,963147","37,232994"
"05010","",""
"05011","",""
"05012","-4,134975","37,175061"
"05013","",""
"05014","",""
"05015","-4,297522","37,122994"
"05016","-4,426117","37,134055"
"05017","",""
"05018","",""
"05019","-4,560924","37,028167"
"06001","-1,347123","37,886525"
"06002","-1,414493","37,849377"
"06003","-1,495615","37,76348"
"06004","-1,595385","37,703698"
"06005","-1,685641","37,680691"
"06006","-1,696252","37,672061"
"06007","-1,731898","37,580997"
"06008","-1,216974","37,964244"
"06100","-1,779577","37,474727"
"07001","-1,749475","37,399224"
"07003","-1,693032","37,39243"
"07004","-1,57253","37,409787"
"07007","-1,585864","37,411849"
"08000","-3,725218","40,624771"
"08001","-3,759176","40,763446"
"08004","-4,094868","40,910185"
"08005","-4,275599","40,992385"
"08006","-4,438227","41,125398"
"08007","-4,672583","41,268408"
"08008","-4,759979","41,353086"
"08009","-4,791421","41,461054"
"08010","",""
"08011","",""
"08012","-4,780553","41,483425"
"08013","",""
"08200","",""
"09000","",""
"09001","",""
"09002","",""
"09003","",""
"09004","",""
"09005","",""
"09006","",""
"09007","",""
"09008","",""
"09009","",""
"09010","",""
"09011","",""
"09012","",""
"09013","",""
"09014","",""
"09015","",""
"09016","",""
"09020","",""
"09021","",""
"09022","",""
"10000","-3,720123","40,422254"
"10001","-3,785552","40,448415"
"10002","-3,800203","40,447337"
"10005","-3,868148","40,494207"
"10007","-3,846271","40,474309"
"10010","-3,807857","40,465286"
"10100","-3,882252","40,522279"
"10101","-3,896748","40,552361"
"10103","-3,956445","40,574451"
"10104","-3,98226","40,600269"
"10105","-3,888387","40,538043"
"10200","-4,008069","40,626476"
"10201","-4,031114","40,617857"
"10202","-4,046352","40,609254"
"10203","-4,132421","40,58524"
"10204","-4,158088","40,538826"
"10205","-4,246759","40,520709"
"10206","-4,269116","40,568971"
"10207","-4,361556","40,589256"
"10208","-4,408705","40,590964"
"10209","-4,283051","40,567702"
"10300","-4,495097","40,599322"
"10301","-4,534514","40,606076"
"10302","-4,615031","40,648979"
"10400","-4,683314","40,657175"
"10401","",""
"10403","-4,653165","40,747913"
"10404","",""
"10405","-4,601889","40,88632"
"10406","",""
"10407","",""
"10408","",""
"10409","-4,701968","41,04707"
"10410","-4,750666","41,117774"
"10411","-4,792034","41,178183"
"10500","-4,909634","41,317268"
"10501","-4,835732","41,367689"
"10502","-4,801402","41,421901"
"10503","-4,772929","41,488711"
"10504","-4,754466","41,524079"
"10505","",""
"10600","-4,726967","41,64217"
"10601","-4,692167","41,677978"
"10602","-4,651332","41,737306"
"10603","-4,62341","41,766375"
"10604","-4,579609","41,809021"
"10605","-4,540835","41,871267"
"10608","-4,739516","41,622984"
"10610","-4,704104","41,660232"
"11000","-4,495894","41,917174"
"11002","-4,466191","41,943649"
"11003","",""
"11004","-4,432135","41,976575"
"11005","-4,299151","42,015957"
"11006","-4,198598","42,079965"
"11007","-4,106213","42,146899"
"11008","",""
"11009","-3,999543","42,21563"
"11010","-3,894002","42,272477"
"11011","-3,811816","42,327346"
"11014","-3,666178","42,370155"
"11101","",""
"11102","-3,622011","42,361742"
"11103","-3,540473","42,400773"
"11104","",""
"11106","-3,446961","42,464904"
"11107","",""
"11109","-3,319249","42,54272"
"11110","-3,246122","42,623008"
"11111","-3,112998","42,630261"
"11112","-3,013531","42,649075"
"11200","-2,94111","42,690754"
"11202","",""
"11203","-2,867521","42,742865"
"11204","-2,830131","42,765211"
"11205","-2,804915","42,816218"
"11206","",""
"11207","",""
"11208","-2,672643","42,841472"
"11209","",""
"11210","-2,514604","42,848818"
"11211","",""
"11212","-2,389177","42,84642"
"11213","-2,306783","42,869461"
"11214","",""
"11215","",""
