Fecha	T.ida	T.vuelta
20240112	32965	21054
20240112	21054	21678
20240112	21678	
20240112	39083	21620
20240112	21620	27215
20240112	27215	27115
20240112	27115	27116
20240112	27116	27216
20240112	27216	21639
20240112	21639	32953
20240112	32953	32944
20240112	32944	21658
20240112	21658	21665
20240112	21665	32965
20240112	32965	21054
20240112	21054	21678
20240112	21678	
20240112	21601	21003
20240112	21003	21024
20240112	21024	21634
20240112	21634	27227
20240112	27227	27127
20240112	27127	27128
20240112	27128	27228
20240112	27228	
20240112	21601	21003
20240112	21003	21024
20240112	21024	21634
20240112	21634	27227
20240112	27227	27127
20240112	27127	27128
20240112	27128	27228
20240112	27228	
20240112	27032	
20240112	37085	37080
20240112	37080	
20240112	32951	21034
20240112	21034	
20240112	32951	21034
20240112	21034	
20240112	37027	37022
20240112	37022	27801
20240112	27801	27911
20240112	27911	21710
20240112	21710	21517
20240112	21517	35060
20240112	35060	21731
20240112	21731	27831
20240112	27831	27941
20240112	27941	21740
20240112	21740	35073
20240112	35073	21520
20240112	21520	21761
20240112	21761	27861
20240112	27861	27971
20240112	27971	21770
20240112	21770	
20240112	37027	37022
20240112	37022	27801
20240112	27801	27911
20240112	27911	21710
20240112	21710	21517
20240112	21517	35060
20240112	35060	21731
20240112	21731	27831
20240112	27831	27941
20240112	27941	21740
20240112	21740	35073
20240112	35073	21520
20240112	21520	21761
20240112	21761	27861
20240112	27861	27971
20240112	27971	21770
20240112	21770	
20240112	39018	21707
20240112	21707	27807
20240112	27807	27917
20240112	27917	21716
20240112	21716	32807
20240112	32807	35064
20240112	35064	21737
20240112	21737	27837
20240112	27837	27947
20240112	27947	21746
20240112	21746	35079
20240112	35079	21526
20240112	21526	21767
20240112	21767	27867
20240112	27867	27977
20240112	27977	
20240112	39018	21707
20240112	21707	27807
20240112	27807	27917
20240112	27917	21716
20240112	21716	32807
20240112	32807	35064
20240112	35064	21737
20240112	21737	27837
20240112	27837	27947
20240112	27947	21746
20240112	21746	35079
20240112	35079	21526
20240112	21526	21767
20240112	21767	27867
20240112	27867	27977
20240112	27977	
20240112	37070	21700
20240112	21700	21711
20240112	21711	27811
20240112	27811	27921
20240112	27921	21720
20240112	21720	35055
20240112	35055	21426
20240112	21426	21741
20240112	21741	27841
20240112	27841	27951
20240112	27951	21750
20240112	21750	32821
20240112	32821	32086
20240112	32086	
20240112	37070	21700
20240112	21700	21711
20240112	21711	27811
20240112	27811	27921
20240112	27921	21720
20240112	21720	35055
20240112	35055	21426
20240112	21426	21741
20240112	21741	27841
20240112	27841	27951
20240112	27951	21750
20240112	21750	32821
20240112	32821	32086
20240112	32086	
20240112	21709	27809
20240112	27809	27919
20240112	27919	21718
20240112	21718	21431
20240112	21431	35066
20240112	35066	21739
20240112	21739	27839
20240112	27839	27949
20240112	27949	21748
20240112	21748	35081
