Código	Nombre
"05108"	O ALTO DO CASTIÑEIRO (APD)
"05105"	PIÑEIROS (APD)
"05106"	O PONTO (APD)
"05107"	XUVIA
"21010"	FERROL
"05102"	SAN XOAN (APD)
"05104"	VIRXE DO MAR (APD)
"05103"	SANTA ICIA (APD)
"05108"	O ALTO DO CASTIÑEIRO (APD)
"05105"	PIÑEIROS (APD)
"05106"	O PONTO (APD)
"05107"	XUVIA
"05109"	FERRERIAS (APD)
"05111"	SEDES (APD)
"05113"	PEDROSO DE NARON (APD)
"05115"	SAN SADURNIÑO
"05117"	LAMAS (APD)
"05119"	APALLA (APD)
"05121"	MOECHE
"05123"	LABACENGOS (APD)
"05125"	ENTRAMBARRIAS (APD)
"05127"	CERDIDO
"05129"	A CUQUEIRA (APD)
"05131"	SANTA MARIA DE MERA (APD)
"05133"	PONTE MERA
"05135"	SAN CLODIO (APD)
"05137"	SENRA (APD)
"05139"	ORTIGUEIRA
"05141"	ESPASANTE (APD)
"05143"	LOIBA (APD)
"05145"	O BARQUEIRO (APD)
"05147"	O VICEDO (APD)
"05149"	MOSENDE (APD)
"05151"	FOLGUEIRO (APD)
"05153"	COVAS DE VIVEIRO (APD)
"05155"	VIVEIRO
"05156"	VIVEIRO-APEADERO
"05157"	XUANCES (APD)
"05159"	XOVE-POBO (APD)
"05161"	XOVE
"05163"	LAGO (APD)
"05165"	BIDUEIROS (APD)
"05167"	SAN CIBRAO (APD)
"05169"	MADEIRO (APD)
"05171"	BURELA
"05173"	CANGAS DE FOZ (APD)
"05175"	NOIS (APD)
"05177"	FAZOURO (APD)
"05179"	MARZAN (APD)
"05181"	FOZ (APD)
"05183"	BARREIROS (APD)
"05185"	REINANTE (APD)
"05187"	ESTEIRO (APD)
"05189"	OS CASTROS (APD)
"05191"	RINLO (APD)
"05193"	RIBADEO
"05197"	VEGADEO PUEBLO (APD)
"05199"	VILAVEDELLE (APD)
"05299"	CASTROPOL (APD)
"05297"	LAS CAMPAS DE CASTROPOL (APD)
"05295"	TOL (APD)
"05293"	TAPIA (APD)
"05291"	LA CARIDAD (APD)
"05289"	CARTAVIO (APD)
"05287"	LOZA (APD)
"05285"	MEDAL (APD)
"05283"	NAVIA
"05281"	PIÑERA-VILLAORIL (APD)
"05279"	VILLAPEDRE (APD)
"05277"	OTUR (APD)
"05275"	LUARCA
"05273"	BARCIA (APD)
"05271"	CANERO (APD)
"05269"	SAN CRISTOBAL (APD)
"05267"	CADAVEDO (APD)
"05265"	TABLIZO (APD)
"05263"	BALLOTA (APD)
"05261"	SANTA MARINA (APD)
"05259"	NOVELLANA (APD)
"05257"	VALDREDO (APD)
"05255"	SOTO DE LUIÑA
"05253"	SAN COSME (APD)
"05251"	SAN MARTIN DE LUIÑA (APD)
"05249"	LA MAGDALENA (APD)
"05247"	VILLADEMAR (APD)
"05245"	CUDILLERO
"05244"	EL PITO PIÑERA (APD)
"05243"	MUROS DE NALON
"05241"	LOS CABOS (APD)
"05239"	SANTIANES (APD)
"05325"	PRAVIA
"05323"	BEIFAR (APD)
"05321"	SAN ROMAN
"05320"	ACES (APD)
"05319"	SANDICHE (APD)
"05317"	GRADO
"05316"	PEÑAFLOR DE GRADO (APD)
"05315"	VEGA DE ANZO
"05313"	SANTA MARIA DE GRADO
"05308"	SOTO UDRION (APD)
"05311"	TRUBIA
"05308"	SOTO UDRION (APD)
"05306"	SAN PEDRO DE NORA (APD)
"05304"	SAN CLAUDIO
"05303"	LAS MAZAS (APD)
"05302"	LAS CAMPAS (APD)
"05301"	LA ARGAÑOSA-LAVAPIES (APD)
"05300"	VALLOBIN (APD)
"15211"	OVIEDO
"21010"	FERROL
"05102"	SAN XOAN (APD)
"05104"	VIRXE DO MAR (APD)
"05103"	SANTA ICIA (APD)
"05108"	O ALTO DO CASTIÑEIRO (APD)
"05105"	PIÑEIROS (APD)
"05106"	O PONTO (APD)
"05107"	XUVIA
"05109"	FERRERIAS (APD)
"05111"	SEDES (APD)
"05113"	PEDROSO DE NARON (APD)
"05115"	SAN SADURNIÑO
"05117"	LAMAS (APD)
"05119"	APALLA (APD)
"05121"	MOECHE
"05123"	LABACENGOS (APD)
"05125"	ENTRAMBARRIAS (APD)
"05127"	CERDIDO
"05129"	A CUQUEIRA (APD)
"05131"	SANTA MARIA DE MERA (APD)
"05133"	PONTE MERA
"05135"	SAN CLODIO (APD)
"05137"	SENRA (APD)
"05139"	ORTIGUEIRA
"05245"	CUDILLERO
"05244"	EL PITO PIÑERA (APD)
"05243"	MUROS DE NALON
"05241"	LOS CABOS (APD)
"05239"	SANTIANES (APD)
"05325"	PRAVIA
"05237"	PEÑAULLAN (APD)
"05235"	RIBERAS (APD)
"05233"	SOTO DEL BARCO
"05232"	EL PARADOR (APD)
"05231"	SANTIAGO DEL MONTE
"05229"	VEGARROZADAS (APD)
"05227"	PIEDRAS BLANCAS
"05225"	SALINAS (APD)
"05224"	RAICES (APD)
"05220"	CRISTALERIA (APD)
"05223"	LA MARUCA-MERCANCIAS
"16403"	AVILES
"05221"	AVILES-APEADERO
"05219"	LLARANES (APD)
"05218"	OFICINAS (APD)
"05217"	TRASONA
"05216"	GUDIN LAMINACION (APD)
"05215"	ZANZABORNIN (APD)
"05213"	REGUERAL
"05211"	CANDAS
"05210"	CANDAS-APEADERO
"05209"	PERLORA
"05208"	XIVARES (APD)
"05207"	ABOÑO-APEADERO
"A1984"	AG ENLACE VERIÑA
"15400"	VERIÑA
"05204"	CENTRO DE TRANSPORTES (APD)
"05203"	TREMAÑES-CARREÑO (APD)
"A1985"	P.C. TREMAÑES 1
"15410"	GIJON-SANZ CRESPO
"05443"	LAVIANA
"05441"	BARREDOS (APD)
"05439"	BLIMEA (APD)
"05437"	SOTRONDIO
"05436"	SAN MARTIN (APD)
"05435"	CARROCERA (APD)
"05433"	EL ENTREGO-LA OSCURA
"05432"	SAN VICENTE (APD)
"05431"	CIAÑO-ESCOBIO (APD)
"05429"	SAMA-LOS LLERONES (APD)
"05425"	LA FELGUERA-VEGA (APD)
"A1703"	AG. A5 TUILLA
"05421"	TUILLA
"05420"	CURUXONA (APD)
"05417"	CARBAYIN
"05416"	VALDESOTO (APD)
"05415"	BENDICION
"05410"	XIXUN (APD)
"05509"	EL BERRON
"05413"	NOREÑA (APD)
"05411"	LA FLORIDA
"05412"	PUENTE BURACOS (APD)
"05409"	AGUDA
"05407"	PINZALES
"05405"	SOTIELLO
"05403"	TREMAÑES-LANGREO (APD)
"A1986"	P.C. TREMAÑES 2
"15410"	GIJON-SANZ CRESPO
"05534"	INFIESTO-APEADERO
"05533"	INFIESTO
"05531"	PINTUELES (APD)
"05529"	CARANCOS
"05527"	CECEDA (APD)
"05525"	FUENTE SANTA DE NAVA (APD)
"05523"	NAVA
"05522"	LLAMES (APD)
"05521"	EL REMEDIO (APD)
"05519"	RIANES
"05517"	LIERES
"05515"	LOS CORROS (APD)
"05513"	POLA DE SIERO
"05511"	LA CARRERA DE SIERO (APD)
"05509"	EL BERRON
"05508"	FONCIELLO (APD)
"05507"	MERES
"05505"	COLLOTO
"05504"	PARQUE PRINCIPADO (APD)
"15217"	LA CORREDORIA (APD)
"C1501"	KM 316,000
"15211"	OVIEDO
"05389"	COLLANZO
"05387"	LEVINCO (APD)
"05385"	CABAÑAQUINTA
"05384"	SANTA ANA-SOTO (APD)
"05382"	CORIGOS (APD)
"05383"	PIÑERES
"05380"	SAN ANTONIO (APD)
"05381"	OYANCO (APD)
"05379"	MOREDA DE ALLER
"05377"	CABORANA (APD)
"05376"	SANTA CRUZ (APD)
"05375"	UJO TARUELO
"05373"	FIGAREDO
"05371"	CAUDALIA (APD)
"05369"	MIERES-VASCO
"C5260"	AGUJA SUEROS
"05367"	SUEROS (CGD)
"C5259"	AGUJA SUEROS
"15205"	ABLAÑA
"15206"	LA PEREDA-RIOSA (APD)
"05361"	BAIÑA (APD)
"05571"	LLANES
"05569"	POO (APD)
"05567"	CELORIO (APD)
"05565"	BALMORI (APD)
"05563"	POSADA
"05561"	VILLAHORMES (APD)
"05559"	NUEVA
"05557"	BELMONTE DE PRIA (APD)
"05555"	CAMANGO (APD)
"05553"	RIBADESELLA
"05551"	LLOVIO
"05549"	CUEVAS (APD)
"05547"	TORAÑO
"05545"	FUENTES (APD)
"05543"	ARRIONDAS
"05542"	POLICLINICO (APD)
"05541"	OZANES (APD)
"05539"	SOTO DE DUEÑAS
"05537"	SEBARES
"05535"	VILLAMAYOR
"05534"	INFIESTO-APEADERO
"05533"	INFIESTO
"05531"	PINTUELES (APD)
"05529"	CARANCOS
"05527"	CECEDA (APD)
"05525"	FUENTE SANTA DE NAVA (APD)
"05523"	NAVA
"05522"	LLAMES (APD)
"05521"	EL REMEDIO (APD)
"05519"	RIANES
"05517"	LIERES
"05515"	LOS CORROS (APD)
"05513"	POLA DE SIERO
"05511"	LA CARRERA DE SIERO (APD)
"05509"	EL BERRON
"05508"	FONCIELLO (APD)
"05507"	MERES
"05505"	COLLOTO
"05504"	PARQUE PRINCIPADO (APD)
"15217"	LA CORREDORIA (APD)
"C1501"	KM 316,000
"15211"	OVIEDO
"05245"
"05243"
"05241"
"05239"
"05325"
"05237"
"05235"
"05233"
"05231"
"05229"
"05227"
"05225"
"05224"
"05220"
"05223"
"05221"
"16403"
"16403"
"05219"
"05218"
"05217"
"05216"
"05215"
"05213"
"05211"
"05210"
"05209"
"05208"
"05207"
"A1984"
"15400"
"05204"
"05203"
"15410"
"A1983"
"05405"
"05407"
"05409"
"05411"
"05509"
"05415"
"05417"
"05421"
"05433"
"05437"
"05443"
"05446"
"05311"
"05308"
"05306"
"05304"
"05303"
"15211"
"05329"
"05321"
"05317"
"05315"
"05313"
"05389"
"05387"
"05385"
"05384"
"05382"
"05383"
"05380"
"05381"
"05379"
"05377"
"05376"
"05375"
"05373"
"05371"
"05369"
"15205"
"15206"
"05361"
"05353"
"05305"
"05505"
"05507"
"05513"
"05517"
"05519"
"05523"
"05529"
"05533"
"05534"
